movieId,userId,rating,timestamp,label,movieRatingCount,movieAvgRating,movieRatingStddev,releaseYear,movieGenre1,movieGenre2,movieGenre3,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
252,10012,3.5,1225313880,1,100,3.12,0.89,1994,Comedy,Romance,,410,344,163,249,288,100,1992,10.10,3.44,1.04,Drama,Comedy,Action,Thriller,Crime
509,10012,1.5,1228182883,0,100,3.70,0.93,1993,Drama,Romance,,367,161,440,252,410,100,1992,10.09,3.45,1.04,Comedy,Drama,Action,Thriller,Crime
668,10058,3.0,1396707576,0,69,3.96,0.98,1955,Drama,,,162,922,535,,,7,1984,17.41,3.00,1.19,Drama,Film-Noir,Romance,Documentary,
318,10145,3.0,1252354401,0,100,4.54,0.64,1994,Crime,Drama,,466,520,,,,5,1993,1.30,2.40,1.78,Comedy,Action,War,,
924,10145,5.0,1252354552,1,100,3.74,1.17,1968,Adventure,Drama,Sci-Fi,32,466,520,,,7,1994,1.15,2.79,1.65,Comedy,Action,War,Mystery,Sci-Fi
951,10191,0.5,1425412445,0,100,3.88,0.99,1940,Comedy,Romance,,589,260,,,,6,1965,25.21,1.75,1.99,Action,Sci-Fi,Adventure,,
474,10260,3.5,1337315282,1,100,3.58,0.70,1993,Action,Thriller,,186,485,48,,,6,1994,0.98,3.42,0.49,Romance,Comedy,Animation,Children,Drama
541,10272,4.5,1165433939,1,100,4.14,0.88,1982,Action,Sci-Fi,Thriller,593,50,260,318,,4,1989,8.34,4.38,0.25,Crime,Thriller,Drama,Action,Adventure
858,10272,4.5,1165433947,1,100,4.35,0.71,1972,Crime,Drama,,541,593,50,260,318,5,1987,7.92,4.40,0.22,Crime,Thriller,Action,Sci-Fi,Drama
457,10272,5.0,1165434408,1,100,3.73,0.74,1993,Thriller,,,165,912,527,924,32,16,1977,20.70,4.34,0.30,Drama,Sci-Fi,Thriller,Crime,Action
349,10272,4.5,1165434410,1,100,3.46,0.85,1994,Action,Crime,Drama,457,165,912,527,924,17,1977,20.42,4.38,0.33,Thriller,Drama,Sci-Fi,Crime,Action
733,10272,3.0,1165434430,0,100,3.46,0.88,1996,Action,Adventure,Thriller,592,780,296,349,457,21,1980,19.31,4.33,0.33,Thriller,Crime,Drama,Action,Sci-Fi
150,10272,4.0,1165434478,1,100,3.73,0.74,1995,Adventure,Drama,IMAX,153,608,364,592,780,25,1983,18.43,4.24,0.41,Thriller,Crime,Drama,Action,Sci-Fi
527,10345,4.0,1225391658,1,100,4.32,0.63,1993,Drama,War,,441,,,,,2,1994,1.41,3.50,0.71,Comedy,,,,
344,10381,3.0,1192034602,0,100,3.06,1.09,1994,Comedy,,,231,1,913,955,562,9,1982,24.25,3.83,0.75,Comedy,Adventure,Drama,Children,Romance
317,10436,3.5,1254725306,1,100,2.81,1.02,1994,Comedy,Drama,Fantasy,368,104,750,2,586,27,1988,14.24,4.26,0.47,Comedy,Adventure,Children,Fantasy,Musical
916,10481,4.5,1207337894,1,100,4.11,0.64,1953,Comedy,Drama,Romance,915,902,17,553,368,63,1990,11.60,3.55,0.99,Comedy,Thriller,Drama,Romance,Action
231,10481,2.5,1208648421,0,100,3.12,1.11,1994,Adventure,Comedy,,541,32,916,915,902,66,1989,12.27,3.61,1.01,Comedy,Thriller,Drama,Romance,Action
858,10481,4.0,1209502178,1,100,4.21,0.85,1972,Crime,Drama,,541,32,916,915,902,80,1990,11.31,3.42,1.02,Comedy,Thriller,Drama,Romance,Action
207,10481,4.0,1209813109,1,100,3.21,0.95,1995,Drama,Romance,,39,372,778,858,541,84,1990,11.25,3.43,0.99,Comedy,Drama,Thriller,Romance,Action
594,10502,3.5,1294842192,1,100,3.45,0.90,1937,Animation,Children,Drama,1,364,616,48,,5,1989,10.80,3.40,0.55,Animation,Children,Drama,Musical,Adventure
595,10502,3.0,1323617965,0,100,3.69,0.92,1991,Animation,Children,Fantasy,337,551,596,594,1,13,1983,20.98,3.27,0.53,Animation,Children,Musical,Drama,Fantasy
318,10502,5.0,1356680148,1,100,4.38,0.77,1994,Crime,Drama,,912,924,590,337,551,21,1982,19.58,3.17,0.68,Animation,Children,Drama,Musical,Adventure
541,10512,5.0,1329413934,1,100,4.17,0.75,1982,Action,Sci-Fi,Thriller,147,69,,,,3,1995,0.58,3.33,2.08,Comedy,Drama,,,
858,10616,4.0,1217474226,1,100,4.21,0.99,1972,Crime,Drama,,839,,,,,2,1995,0.71,3.25,0.35,Action,Thriller,,,
589,10616,5.0,1217475740,1,100,3.90,0.82,1991,Action,Sci-Fi,,260,858,839,,,4,1985,12.30,3.75,0.65,Action,Thriller,Crime,Drama,Adventure
32,10616,4.5,1217479011,1,100,3.90,0.74,1995,Mystery,Sci-Fi,Thriller,919,356,780,466,364,14,1986,15.54,4.07,0.81,Action,Adventure,Thriller,Sci-Fi,Crime
442,10616,4.5,1217479046,1,100,3.02,1.09,1993,Action,Adventure,Sci-Fi,32,919,356,780,466,15,1986,15.14,4.10,0.78,Action,Thriller,Adventure,Sci-Fi,Crime
480,10616,4.5,1217480844,1,100,3.66,0.84,1993,Action,Adventure,Sci-Fi,110,653,442,32,919,18,1988,14.08,4.19,0.75,Action,Adventure,Sci-Fi,Thriller,Drama
316,10616,4.5,1217529262,1,100,3.44,1.02,1994,Action,Adventure,Sci-Fi,10,208,736,587,799,39,1991,10.00,4.14,0.57,Action,Thriller,Adventure,Comedy,Drama
231,10616,4.0,1217530742,1,100,3.10,1.07,1994,Adventure,Comedy,,367,648,316,10,208,42,1991,9.67,4.13,0.56,Action,Adventure,Thriller,Comedy,Sci-Fi
353,10616,3.0,1220852103,0,100,3.55,0.96,1994,Action,Crime,Fantasy,2,383,590,457,44,53,1992,8.66,4.09,0.55,Action,Adventure,Thriller,Comedy,Drama
158,10616,3.0,1238979000,0,100,2.88,0.90,1995,Adventure,Children,,29,296,837,318,2,61,1992,8.11,3.98,0.66,Action,Adventure,Thriller,Comedy,Drama
48,10616,3.5,1315717675,1,100,3.13,0.94,1995,Animation,Children,Drama,19,23,1,370,620,75,1992,7.39,3.79,0.85,Action,Adventure,Thriller,Comedy,Drama
741,10616,4.5,1386259868,1,100,4.03,0.84,1995,Animation,Sci-Fi,,6,798,293,784,48,83,1993,7.05,3.77,0.85,Action,Thriller,Adventure,Comedy,Drama
455,10616,4.0,1398836818,1,100,2.51,1.22,1993,Adventure,Children,Drama,673,741,6,798,293,87,1992,8.87,3.76,0.84,Action,Adventure,Thriller,Comedy,Drama
293,10630,4.0,1217949435,1,100,4.23,0.62,1994,Action,Crime,Drama,778,,,,,3,1995,0.58,2.67,1.53,Comedy,Crime,Drama,,
199,10630,3.5,1233754365,1,100,3.83,0.97,1964,Drama,Musical,Romance,45,356,47,293,778,11,1992,6.86,2.95,0.99,Drama,Comedy,Thriller,Crime,Action
110,10630,2.0,1233867339,0,100,3.83,0.92,1995,Action,Drama,War,199,45,356,47,293,13,1990,10.10,2.96,0.92,Drama,Comedy,Thriller,Crime,Romance
